MPO_AREA,MPO_FIPS,MPO_NAME,population,injuries,collisions,injury_rate,collision_rate,year
Los Angeles,SCAG,Southern California Association of Governments,18641929,7257,6720,7.78567496958067,7.209554333137949,2016
Miami,SEFTC,Southeast Florida Transportation Council,5926955,3151,2959,10.63277855154966,9.984891061261642,2016
Minneapolis,Met Council,Metropolitan Council,2978822,545,501,3.659164595937589,3.363745802871068,2016
New York City,NYMTC,New York Metropolitan Transportation Council,12708171,2752,2599,4.331071717558727,4.0902817565171254,2016
Newark,NJPTA,North Jersey Transporttrion Planning Authority,6702010,1792,1680,5.34764943651233,5.0134213467303095,2016
Orlando,MetroPlan,Metro Plan Orlando,2010922,1129,1048,11.228680177550398,10.423079562509137,2016
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,5700146,1863,1762,6.536674674648686,6.182297786758443,2016
Phoenix,MAG,Maricopa Association of Governments,4486153,2263,2113,10.08882220468183,9.420097798715291,2016
Portland,Metro,Oregon Metro,1737248,480,455,5.5259813221831315,5.238169794986093,2016
Sacramento,SACOG,Sacramento Area Council of Governments,2411845,1142,1036,9.469928623108036,8.59093349697016,2016
San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization,2311330,1340,1231,11.595055660593683,10.651875759843898,2016
San Diego,SANDAG,San Diego Association of Governments,3253356,1136,1066,6.983557901440851,6.553233030753474,2016
Seattle,PSRC,Puget Sound Regional Council,3928583,1013,952,5.157075719158791,4.846531179308163,2016
St Louis,EWG,East-West Gateway Council of Governments,2270963,1052,967,9.264792072790266,8.516210964247326,2016
Tampa,SCTPA,Sun Coast Transporation Planning Alliance,4457280,3101,2882,13.9143154569603,12.931653385024049,2016
Washington DC,COG,Metropolitan Washington Council of Governments,5145939,1303,1218,5.064187507858139,4.733829919087653,2016
Atlanta,ARC,Atalanta Regional Commission,4653304,2079,1958,8.93558641343871,8.41552582852958,2017
Austin,CAMPO,Capital Area Metropoltian Planning Organization,2045607,1149,1024,11.23382937191748,10.01169823920235,2017
Baltimore,BMC,Baltimore Metropolitan Council,2172254,855,798,7.872007601321024,7.34720709456629,2017
Bay Area,MTC,Metropolitan Transportation Commission,7629975,2214,2093,5.803426616732034,5.486256508048847,2017
Boston,MAPC,Metropolitan Area Planning Council,4342905,911,864,4.195348505205617,3.9789035219513207,2017
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,1426183,664,621,9.31156801055685,8.7085598411985,2017
Chicago,CMAP,Chicago Metropolitan Agency for Planning,8522948,2208,2034,5.181305811087901,4.7729963857576045,2017
Dallas,NCTCOG,North Central Texas Council of Governments,7221779,3476,3183,9.626436920875038,8.815002508384707,2017
Denver,DRCOG,Denver Regional Council of Governments,3074013,1104,1030,7.1827933063393035,6.70133795790714,2017
Detroit,SEMCOG,Southeast Michigan Council of Governments,4727536,1936,1802,8.19031309333234,7.623421587905411,2017
Houston,H-GAC,Houston-Galveston Area Council,6806113,3504,3252,10.296625989018988,9.556115215836117,2017
Los Angeles,SCAG,Southern California Association of Governments,18765551,7640,7071,8.142579986060628,7.536149617988835,2017
Miami,SEFTC,Southeast Florida Transportation Council,6019790,3268,3072,10.857521607896622,10.206336101425466,2017
Minneapolis,Met Council,Metropolitan Council,3013413,544,506,3.6105240138009624,3.35831829224869,2017
New York City,NYMTC,New York Metropolitan Transportation Council,12820548,2649,2502,4.132428660615755,3.9031092898681083,2017
Newark,NJPTA,North Jersey Transporttrion Planning Authority,6749036,1765,1658,5.230376604895869,4.9132942838058655,2017
Orlando,MetroPlan,Metro Plan Orlando,2064644,1220,1130,11.818018021508793,10.946197019922078,2017
Philadelphia,DVRPC,Delaware Valley Regional Planning Commission,5717778,1874,1787,6.554993915468561,6.25067989698096,2017
